Sheet number,Sheet name,Sheet title
138,OCCF_UG_ALL_1Y_BFOE,"Occupation level, full-time employed, 2024, among undergraduates from all provider types by broad field of education"
139,OCCF_PGC_ALL_1Y_BFOE,"Occupation level, full-time employed, 2024, among postgraduate coursework students from all provider types by broad field of education"
140,OCCF_PGR_ALL_1Y_BFOE,"Occupation level, full-time employed, 2024, among postgraduate research students from all provider types by broad field of education"
141,OCCO_UG_ALL_1Y_BFOE,"Occupation level, overall employed, 2024, among undergraduates from all provider types by broad field of education"
142,OCCO_PGC_ALL_1Y_BFOE,"Occupation level, overall employed, 2024, among postgraduate coursework students from all provider types by broad field of education"
143,OCCO_PGR_ALL_1Y_BFOE,"Occupation level, overall employed, 2024, among postgraduate research students from all provider types by broad field of education"
144,OCCF_UG_ALL_1Y_AREA,"Occupation level, full-time employed, 2024, among undergraduates from all provider types by study area"
145,OCCF_PGC_ALL_1Y_AREA,"Occupation level, full-time employed, 2024, among postgraduate coursework students from all provider types by study area"
146,OCCF_PGR_ALL_1Y_AREA,"Occupation level, full-time employed, 2024, among postgraduate research students from all provider types by study area"
147,OCCO_UG_ALL_1Y_AREA,"Occupation level, overall employed, 2024, among undergraduates from all provider types by study area"
148,OCCO_PGC_ALL_1Y_AREA,"Occupation level, overall employed, 2024, among postgraduate coursework students from all provider types by study area"
149,OCCO_PGR_ALL_1Y_AREA,"Occupation level, overall employed, 2024, among postgraduate research students from all provider types by study area"
150,SPOQSCL_UG_ALL_1Y_AREA,"Occupation does not fully use skills or education, 2024, among undergraduates from all provider types by study area"
151,SPOQSCL_PGC_ALL_1Y_AREA,"Occupation does not fully use skills or education, 2024, among postgraduate coursework students from all provider types by study area"
152,SPOQSCL_PGR_ALL_1Y_AREA,"Occupation does not fully use skills or education, 2024, among postgraduate research students from all provider types by study area"
153,CRSPREP_UG_ALL_1Y_AREA,"Course prepared them well or very well for current job, 2024, among undergraduates from all provider types by study area"
154,CRSPREP_PGC_ALL_1Y_AREA,"Course prepared them well or very well for current job, 2024, among postgraduate coursework students from all provider types by study area"
155,CRSPREP_PGR_ALL_1Y_AREA,"Course prepared them well or very well for current job, 2024, among postgraduate research students from all provider types by study area"
156,CRSPREP_UG_ALL_1Y_AREA_OCCF,"Course prepared them well or very well for managerial or professional occupations, full-time employed, among undergraduates from all provider types by study area, 2024"
157,CRSPREP_PGC_ALL_1Y_AREA_OCCF,"Course prepared them well or very well for managerial or professional occupations, full-time employed, among postgraduate coursework students from all provider types by study area, 2024"
158,CRSPREP_PGR_ALL_1Y_AREA_OCCF,"Course prepared them well or very well for managerial or professional occupations, full-time employed, among postgraduate research students from all provider types by study area, 2024"
