Sheet number,Sheet name,Sheet title
129,OCC_UG_ALL_1Y_STMT2_E315,"Proportion of employed graduates, by gender, working in occupation groups, 2024, among undergraduates and all provider types by short-term and medium-term domestic employment outcomes"
130,OCC_UG_ALL_1Y_STMT2_E942,"Proportion of employed graduates, by citizenship indicator, working in occupation groups, 2024, among undergraduates and all provider types by short-term and medium-term employment outcomes"
131,OCCF_PGC_ALL_1Y_BFOE,"Proportion domestic full-time employed working in occupational groups, 2024, among postgraduate coursework graduates from all provider types by broad field of education"
132,OCCF_PGR_ALL_1Y_BFOE,"Proportion domestic full-time employed working in occupational groups, 2024, among postgraduate research graduates from all provider types by broad field of education"
133,OCCF_UG_ALL_1Y_BFOE,"Proportion domestic full-time employed working in occupational groups, 2024, among undergraduates from all provider types by broad field of education"
134,OCCO_PGC_ALL_1Y_BFOE,"Proportion domestic employed working in occupational groups, 2024, among postgraduate coursework graduates from all provider types by broad field of education"
135,OCCO_PGR_ALL_1Y_BFOE,"Proportion domestic employed working in occupational groups, 2024, among postgraduate research graduates from all provider types by broad field of education"
136,OCCO_UG_ALL_1Y_BFOE,"Proportion domestic employed working in occupational groups, 2024, among undergraduates from all provider types by broad field of education"
137,PREFMHRS_UG_ALL_1Y_E315,"Short-term and medium-term domestic employed seeking or not seeking more hours among undergraduates from all provider types by gender, 2024"
138,PREFMHRS_UG_ALL_1Y_E942,"Short-term and medium-term employed seeking or not seeking more hours among undergraduates from all provider types by citizenship indicator, 2024"
139,PREFMHRS_PGC_ALL_1Y_E315,"Short-term and medium-term domestic employed seeking or not seeking more hours among postgraduate coursework graduates from all provider types by gender, 2024"
140,PREFMHRS_PGC_ALL_1Y_E942,"Short-term and medium-term employed seeking or not seeking more hours among postgraduate coursework graduates from all provider types by citizenship indicator, 2024"
141,PREFMHRS_PGR_ALL_1Y_E315,"Short-term and medium-term domestic employed seeking or not seeking more hours among postgraduate research graduates from all provider types by gender, 2024"
142,PREFMHRS_PGR_ALL_1Y_E942,"Short-term and medium-term employed seeking or not seeking more hours among postgraduate research graduates from all provider types by citizenship indicator, 2024"
143,RSNOMORE_PGC_ALL_1Y_STMT_E315,"Main reason not working more hours among postgraduate coursework graduates and all provider types by domestic preference for more hours and gender, 2024"
144,RSNOMORE_PGC_ALL_1Y_STMT_E942,"Main reason not working more hours among postgraduate coursework graduates and all provider types by preference for more hours and citizenship indicator, 2024"
145,RSNOMORE_PGR_ALL_1Y_STMT_E315,"Main reason not working more hours among postgraduate research graduates and all provider types by domestic preference for more hours and gender, 2024"
146,RSNOMORE_PGR_ALL_1Y_STMT_E942,"Main reason not working more hours among postgraduate research graduates and all provider types by preference for more hours and citizenship indicator, 2024"
147,RSNOMORE_UG_ALL_1Y_STMT_E315,"Main reason not working more hours among undergraduates and all provider types by domestic preference for more hours and gender, 2024"
148,RSNOMORE_UG_ALL_1Y_STMT_E942,"Main reason not working more hours among undergraduates and all provider types by preference for more hours and citizenship indicator, 2024"
149,RSOVRQ_PGC_ALL_1Y_MT,"Main reason for working in a job that doesn’t fully use skills and education among postgraduate coursework graduates and all provider types by medium-term domestic employment outcomes, 2024"
150,RSOVRQ_PGR_ALL_1Y_MT,"Main reason for working in a job that doesn’t fully use skills and education among postgraduate research graduates and all provider types by medium-term domestic employment outcomes, 2024"
151,STMT_ALL_ALL_1Y_E942,"Short-term and medium-term employment outcomes (FTE, OE, LF, SAL), 2024, among all course levels from all provider types by citizenship indicator"
152,STMT_PGC_ALL_1Y_E315,"Short-term and medium-term domestic employment outcomes (FTE, OE, LF, SAL), 2024, among postgraduate coursework graduates from all provider types by gender"
153,STMT_PGC_ALL_1Y_HEPTYPE,"Short-term and medium-term domestic employment outcomes (FTE, OE, LF, SAL), 2024, among postgraduate coursework graduates from all provider types by provider types"
154,STMT_PGC_ALL_1Y_SG,"Short-term and medium-term domestic employment outcomes (FTE, OE, LF, SAL), 2024, among postgraduate coursework graduates from all provider types by demographic group"
155,STMT_PGR_ALL_1Y_E315,"Short-term and medium-term domestic employment outcomes (FTE, OE, LF, SAL), 2024, among postgraduate research graduates from all provider types by gender"
156,STMT_PGR_ALL_1Y_HEPTYPE,"Short-term and medium-term domestic employment outcomes (FTE, OE, LF, SAL), 2024, among postgraduate research graduates from all provider types by provider types"
157,STMT_PGR_ALL_1Y_SG,"Short-term and medium-term domestic employment outcomes (FTE, OE, LF, SAL), 2024, among postgraduate research graduates from all provider types by demographic group"
158,STMT_UG_ALL_1Y_E315,"Short-term and medium-term domestic employment outcomes (FTE, OE, LF, SAL), 2024, among undergraduates from all provider types by gender"
159,STMT_UG_ALL_1Y_HEPTYPE,"Short-term and medium-term domestic employment outcomes (FTE, OE, LF, SAL), 2024, among undergraduates from all provider types by provider types"
160,STMT_UG_ALL_1Y_SG,"Short-term and medium-term domestic employment outcomes (FTE, OE, LF, SAL), 2024, among undergraduates from all provider types by demographic group"
161,SPOQ_ALL_ALL_1Y_E942,"Occupation does not fully use skills or education 2024, among all course levels from all provider types by citizenship indicator"
